,,data,Edward_II_Marlowe.tok,Hamlet_Shakespeare.tok,Henry_VI_Part1_Shakespeare.tok,Henry_VI_Part2_Shakespeare.tok,Jew_of_Malta_Marlowe.tok,Richard_II_Shakespeare.tok
c,0,!,0.002068661474288686,0.002353621919179282,0.0022946898936685952,0.0024045630778407397,0.0013655898143065616,0.0014745406439873252
c,1,"""",0.00013564993274024168,,,,2.6776270868756108e-05,
c,2,',0.004804268451216893,0.0074596521956712125,0.006140719433761029,0.006645168505815688,0.005609628747004405,0.006515168944709954
c,3,(,1.1304161061686807e-05,,,,4.016440630313416e-05,
c,4,),1.1304161061686807e-05,,,,4.016440630313416e-05,
c,5,",",0.02658738681708737,0.024849868635055675,0.021470971634185494,0.023616910229645093,0.026856599681362378,0.022044905514363698
c,6,-,0.0001808665769869889,0.0032215688727636684,0.0012604634627193692,0.001593722039964211,0.0008434525323658174,0.001505913849178545
c,7,.,0.012728485355459345,0.009742900037532842,0.008564687631298277,0.008798091261556815,0.016159479469294313,0.007487738305637765
c,8,0,2.2608322123373613e-05,,,,9.371694804064638e-05,
c,9,1,2.2608322123373613e-05,,,,,
c,10,4,1.1304161061686807e-05,,,,1.3388135434378054e-05,
c,11,:,0.001051286978736873,0.00414425121981734,0.00305958652489146,0.0028798836862511186,0.0005221372819407441,0.0035242567164803446
c,12,;,0.0036512440229248388,0.004496121606405605,0.0035120605884317465,0.0037932448553534147,0.002262594888409891,0.0041517208203047384
c,13,?,0.0034251608016911024,0.003346678343550607,0.0024131950055481938,0.0027121234715180437,0.004431472828779136,0.002405279064660176
c,14,a,0.07138577710455218,0.07032716126610784,0.07099533520786874,0.07345101401729794,0.0768077329870269,0.07062108488543552
c,15,b,0.014684105219131162,0.013785499812335794,0.01640757139932991,0.015583059946316731,0.016909215053619482,0.0159375882371396
c,16,c,0.01840317420842612,0.018821156011510073,0.023108496816521766,0.020811586638830898,0.018047206565541617,0.018269663156353595
c,17,d,0.037495902241615135,0.037822156887276366,0.038912769464464626,0.04079369221592603,0.03463510636873603,0.03991717473829518
c,18,e,0.11717893356544544,0.10972100588014513,0.11455135041961582,0.11274418431255592,0.11547266812151072,0.11178273009631574
c,19,f,0.01925098628805263,0.02033028900287752,0.02289303297674068,0.02254510885773934,0.019519901463323202,0.02166842705206906
c,20,g,0.017611882934108047,0.016866320530464156,0.017635715286082113,0.01850022368028631,0.015610565916484812,0.02121874444432825
c,21,h,0.06141550704814442,0.061718065807581636,0.061030132617993386,0.06299396063226961,0.06459775347087411,0.06244313606559091
c,22,i,0.05848772933316754,0.062148129613411734,0.060523792594507825,0.05843647479868774,0.060500984027954424,0.06059211695930895
